"Workout #";"Date";"Workout Name";"Duration (sec)";"Exercise Name";"Set Order";"Weight (kg)";"Reps";"RPE";"Distance (meters)";"Seconds";"Notes";"Workout Notes";"Sleep (hrs)";"Stress (1-10)";"Session Index"
"23";"2026-04-05 00:00:00";"Push";"5138";"Seated Overhead Press (Dumbbell)";"Rest Timer";"";"";"";"";"125";"";"";"7.8";"5.0";"0"
"23";"2026-04-05 00:00:00";"Push";"5138";"Seated Overhead Press (Dumbbell)";"4";"35.0";"3";"8.1";"";"";"";"";"7.8";"5.0";"0"
"23";"2026-04-05 00:00:00";"Push";"5138";"Seated Overhead Press (Dumbbell)";"Rest Timer";"";"";"";"";"94";"";"";"7.8";"5.0";"0"
"23";"2026-04-05 00:00:00";"Push";"5138";"Seated Overhead Press (Dumbbell)";"5";"37.5";"3";"9.0";"";"";"";"";"7.8";"5.0";"0"
"23";"2026-04-05 00:00:00";"Push";"5138";"Incline Chest Press (Machine)";"W";"30.0";"11";"";"";"";"";"";"7.8";"5.0";"0"
"23";"2026-04-05 00:00:00";"Push";"5138";"Incline Chest Press (Machine)";"1";"55.0";"10";"6.7";"";"";"";"";"7.8";"5.0";"0"
"23";"2026-04-05 00:00:00";"Push";"5138";"Incline Chest Press (Machine)";"Rest Timer";"";"";"";"";"137";"";"";"7.8";"5.0";"0"
"23";"2026-04-05 00:00:00";"Push";"5138";"Incline Chest Press (Machine)";"2";"55.0";"5";"7.1";"";"";"";"";"7.8";"5.0";"0"
"23";"2026-04-05 00:00:00";"Push";"5138";"Incline Chest Press (Machine)";"Rest Timer";"";"";"";"";"126";"";"";"7.8";"5.0";"0"
"23";"2026-04-05 00:00:00";"Push";"5138";"Incline Chest Press (Machine)";"3";"55.0";"7";"7.9";"";"";"";"";"7.8";"5.0";"0"
"23";"2026-04-05 00:00:00";"Push";"5138";"Incline Chest Press (Machine)";"Rest Timer";"";"";"";"";"174";"";"";"7.8";"5.0";"0"
"23";"2026-04-05 00:00:00";"Push";"5138";"Incline Chest Press (Machine)";"4";"55.0";"5";"8.2";"";"";"";"";"7.8";"5.0";"0"
"23";"2026-04-05 00:00:00";"Push";"5138";"Lateral Raise (Cable)";"W";"7.5";"14";"";"";"";"";"";"7.8";"5.0";"0"
"23";"2026-04-05 00:00:00";"Push";"5138";"Lateral Raise (Cable)";"1";"12.5";"12";"7.3";"";"";"";"";"7.8";"5.0";"0"
"23";"2026-04-05 00:00:00";"Push";"5138";"Lateral Raise (Cable)";"Rest Timer";"";"";"";"";"149";"";"";"7.8";"5.0";"0"
"23";"2026-04-05 00:00:00";"Push";"5138";"Lateral Raise (Cable)";"2";"12.5";"8";"7.8";"";"";"";"";"7.8";"5.0";"0"
"23";"2026-04-05 00:00:00";"Push";"5138";"Lateral Raise (Cable)";"Rest Timer";"";"";"";"";"136";"";"";"7.8";"5.0";"0"
"23";"2026-04-05 00:00:00";"Push";"5138";"Lateral Raise (Cable)";"3";"15.0";"10";"8.4";"";"";"";"";"7.8";"5.0";"0"
"23";"2026-04-05 00:00:00";"Push";"5138";"Lateral Raise (Cable)";"Rest Timer";"";"";"";"";"104";"";"";"7.8";"5.0";"0"
"23";"2026-04-05 00:00:00";"Push";"5138";"Lateral Raise (Cable)";"4";"15.0";"9";"8.5";"";"";"";"";"7.8";"5.0";"0"
"23";"2026-04-05 00:00:00";"Push";"5138";"Skullcrusher (Dumbbell)";"W";"5.0";"13";"";"";"";"";"";"7.8";"5.0";"0"
"23";"2026-04-05 00:00:00";"Push";"5138";"Skullcrusher (Dumbbell)";"1";"10.0";"13";"7.3";"";"";"";"";"7.8";"5.0";"0"
"23";"2026-04-05 00:00:00";"Push";"5138";"Skullcrusher (Dumbbell)";"Rest Timer";"";"";"";"";"153";"";"";"7.8";"5.0";"0"
"23";"2026-04-05 00:00:00";"Push";"5138";"Skullcrusher (Dumbbell)";"2";"10.0";"10";"7.8";"";"";"";"";"7.8";"5.0";"0"
"23";"2026-04-05 00:00:00";"Push";"5138";"Skullcrusher (Dumbbell)";"Rest Timer";"";"";"";"";"90";"";"";"7.8";"5.0";"0"
"23";"2026-04-05 00:00:00";"Push";"5138";"Skullcrusher (Dumbbell)";"3";"10.0";"9";"8.4";"";"";"";"";"7.8";"5.0";"0"
"23";"2026-04-05 00:00:00";"Push";"5138";"Triceps Extension";"W";"20.0";"15";"";"";"";"";"";"7.8";"5.0";"0"
"23";"2026-04-05 00:00:00";"Push";"5138";"Triceps Extension";"1";"30.0";"8";"7.0";"";"";"";"";"7.8";"5.0";"0"
"23";"2026-04-05 00:00:00";"Push";"5138";"Triceps Extension";"Rest Timer";"";"";"";"";"119";"";"";"7.8";"5.0";"0"
"23";"2026-04-05 00:00:00";"Push";"5138";"Triceps Extension";"2";"30.0";"9";"7.5";"";"";"";"";"7.8";"5.0";"0"
"23";"2026-04-05 00:00:00";"Push";"5138";"Triceps Extension";"Rest Timer";"";"";"";"";"112";"";"";"7.8";"5.0";"0"
"23";"2026-04-05 00:00:00";"Push";"5138";"Triceps Extension";"3";"30.0";"6";"7.8";"";"";"";"";"7.8";"5.0";"0"
"23";"2026-04-05 00:00:00";"Push";"5138";"Incline Chest Fly (Dumbbell)";"W";"12.5";"11";"";"";"";"";"";"7.8";"5.0";"0"
"23";"2026-04-05 00:00:00";"Push";"5138";"Incline Chest Fly (Dumbbell)";"1";"20.0";"9";"7.5";"";"";"";"";"7.8";"5.0";"0"
"23";"2026-04-05 00:00:00";"Push";"5138";"Incline Chest Fly (Dumbbell)";"Rest Timer";"";"";"";"";"154";"";"";"7.8";"5.0";"0"
"23";"2026-04-05 00:00:00";"Push";"5138";"Incline Chest Fly (Dumbbell)";"2";"20.0";"11";"7.9";"";"";"";"";"7.8";"5.0";"0"
"23";"2026-04-05 00:00:00";"Push";"5138";"Incline Chest Fly (Dumbbell)";"Rest Timer";"";"";"";"";"126";"";"";"7.8";"5.0";"0"
"23";"2026-04-05 00:00:00";"Push";"5138";"Incline Chest Fly (Dumbbell)";"3";"20.0";"10";"8.2";"";"";"";"";"7.8";"5.0";"0"
"23";"2026-04-05 00:00:00";"Push";"5138";"Skullcrusher (Barbell)";"W";"10.0";"13";"";"";"";"";"";"7.8";"5.0";"0"
"23";"2026-04-05 00:00:00";"Push";"5138";"Skullcrusher (Barbell)";"1";"17.5";"7";"7.5";"";"";"";"";"7.8";"5.0";"0"
"23";"2026-04-05 00:00:00";"Push";"5138";"Skullcrusher (Barbell)";"Rest Timer";"";"";"";"";"168";"";"";"7.8";"5.0";"0"
"23";"2026-04-05 00:00:00";"Push";"5138";"Skullcrusher (Barbell)";"2";"17.5";"7";"7.9";"";"";"";"";"7.8";"5.0";"0"
"23";"2026-04-05 00:00:00";"Push";"5138";"Skullcrusher (Barbell)";"Rest Timer";"";"";"";"";"111";"";"";"7.8";"5.0";"0"
"23";"2026-04-05 00:00:00";"Push";"5138";"Skullcrusher (Barbell)";"3";"17.5";"8";"8.6";"";"";"";"";"7.8";"5.0";"0"
"24";"2026-04-07 00:00:00";"Pull";"3241";"Lat Pulldown (Cable)";"W";"32.5";"11";"";"";"";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"Lat Pulldown (Cable)";"1";"55.0";"10";"7.5";"";"";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"Lat Pulldown (Cable)";"Rest Timer";"";"";"";"";"148";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"Lat Pulldown (Cable)";"2";"57.5";"10";"8.0";"";"";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"Lat Pulldown (Cable)";"Rest Timer";"";"";"";"";"169";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"Lat Pulldown (Cable)";"3";"60.0";"7";"8.6";"";"";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"Seated Row (Machine)";"W";"37.5";"14";"";"";"";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"Seated Row (Machine)";"1";"60.0";"5";"6.8";"";"";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"Seated Row (Machine)";"Rest Timer";"";"";"";"";"138";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"Seated Row (Machine)";"2";"60.0";"4";"7.3";"";"";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"Seated Row (Machine)";"Rest Timer";"";"";"";"";"145";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"Seated Row (Machine)";"3";"60.0";"2";"7.5";"";"";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"Seated Row (Machine)";"Rest Timer";"";"";"";"";"180";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"Seated Row (Machine)";"4";"60.0";"2";"8.4";"";"";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"Seated Row (Machine)";"Rest Timer";"";"";"";"";"154";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"Seated Row (Machine)";"5";"60.0";"1";"8.3";"";"";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"Face Pull (Cable)";"W";"22.5";"12";"";"";"";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"Face Pull (Cable)";"1";"40.0";"8";"7.5";"";"";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"Face Pull (Cable)";"Rest Timer";"";"";"";"";"102";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"Face Pull (Cable)";"2";"40.0";"6";"7.9";"";"";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"Face Pull (Cable)";"Rest Timer";"";"";"";"";"171";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"Face Pull (Cable)";"3";"40.0";"7";"8.4";"";"";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"Face Pull (Cable)";"Rest Timer";"";"";"";"";"142";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"Face Pull (Cable)";"4";"40.0";"3";"8.6";"";"";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"Bicep Curl (Machine)";"W";"20.0";"11";"";"";"";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"Bicep Curl (Machine)";"1";"32.5";"8";"6.6";"";"";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"Bicep Curl (Machine)";"Rest Timer";"";"";"";"";"153";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"Bicep Curl (Machine)";"2";"32.5";"3";"6.9";"";"";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"Bicep Curl (Machine)";"Rest Timer";"";"";"";"";"98";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"Bicep Curl (Machine)";"3";"32.5";"6";"7.4";"";"";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"Bicep Curl (Dumbbell)";"W";"10.0";"13";"";"";"";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"Bicep Curl (Dumbbell)";"1";"15.0";"5";"6.8";"";"";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"Bicep Curl (Dumbbell)";"Rest Timer";"";"";"";"";"159";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"Bicep Curl (Dumbbell)";"2";"15.0";"4";"7.2";"";"";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"Bicep Curl (Dumbbell)";"Rest Timer";"";"";"";"";"96";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"Bicep Curl (Dumbbell)";"3";"17.5";"2";"7.4";"";"";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"Inverted Row (Bodyweight)";"W";"27.5";"12";"";"";"";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"Inverted Row (Bodyweight)";"1";"50.0";"6";"7.3";"";"";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"Inverted Row (Bodyweight)";"Rest Timer";"";"";"";"";"124";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"Inverted Row (Bodyweight)";"2";"52.5";"6";"7.9";"";"";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"Inverted Row (Bodyweight)";"Rest Timer";"";"";"";"";"173";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"Inverted Row (Bodyweight)";"3";"55.0";"3";"8.2";"";"";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"Inverted Row (Bodyweight)";"Rest Timer";"";"";"";"";"163";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"Inverted Row (Bodyweight)";"4";"57.5";"3";"8.9";"";"";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"Inverted Row (Bodyweight)";"Rest Timer";"";"";"";"";"148";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"Inverted Row (Bodyweight)";"5";"62.5";"5";"9.3";"";"";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"T Bar Row";"W";"17.5";"11";"";"";"";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"T Bar Row";"1";"27.5";"9";"6.8";"";"";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"T Bar Row";"Rest Timer";"";"";"";"";"147";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"T Bar Row";"2";"27.5";"5";"7.4";"";"";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"T Bar Row";"Rest Timer";"";"";"";"";"139";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"T Bar Row";"3";"27.5";"2";"7.9";"";"";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"T Bar Row";"Rest Timer";"";"";"";"";"99";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"T Bar Row";"4";"27.5";"3";"8.5";"";"";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"Reverse Fly (Cable)";"W";"27.5";"14";"";"";"";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"Reverse Fly (Cable)";"1";"50.0";"6";"7.1";"";"";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"Reverse Fly (Cable)";"Rest Timer";"";"";"";"";"111";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"Reverse Fly (Cable)";"2";"50.0";"7";"7.6";"";"";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"Reverse Fly (Cable)";"Rest Timer";"";"";"";"";"100";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"Reverse Fly (Cable)";"3";"50.0";"5";"8.0";"";"";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"Reverse Fly (Cable)";"Rest Timer";"";"";"";"";"116";"";"";"6.9";"4.8";"1"
"24";"2026-04-07 00:00:00";"Pull";"3241";"Reverse Fly (Cable)";"4";"50.0";"2";"8.5";"";"";"";"";"6.9";"4.8";"1"
"25";"2026-04-10 00:00:00";"Upper";"4577";"Bench Press (Barbell)";"W";"57.5";"13";"";"";"";"";"";"7.2";"3.0";"2"
"25";"2026-04-10 00:00:00";"Upper";"4577";"Bench Press (Barbell)";"1";"90.0";"6";"7.3";"";"";"";"";"7.2";"3.0";"2"
"25";"2026-04-10 00:00:00";"Upper";"4577";"Bench Press (Barbell)";"Rest Timer";"";"";"";"";"171";"";"";"7.2";"3.0";"2"
"25";"2026-04-10 00:00:00";"Upper";"4577";"Bench Press (Barbell)";"2";"90.0";"5";"7.7";"";"";"";"";"7.2";"3.0";"2"
"25";"2026-04-10 00:00:00";"Upper";"4577";"Bench Press (Barbell)";"Rest Timer";"";"";"";"";"137";"";"";"7.2";"3.0";"2"
"25";"2026-04-10 00:00:00";"Upper";"4577";"Bench Press (Barbell)";"3";"90.0";"5";"8.2";"";"";"";"";"7.2";"3.0";"2"
"25";"2026-04-10 00:00:00";"Upper";"4577";"Bench Press (Barbell)";"Rest Timer";"";"";"";"";"169";"";"";"7.2";"3.0";"2"
"25";"2026-04-10 00:00:00";"Upper";"4577";"Bench Press (Barbell)";"4";"90.0";"5";"8.5";"";"";"";"";"7.2";"3.0";"2"
"25";"2026-04-10 00:00:00";"Upper";"4577";"Lat Pulldown (Cable)";"W";"30.0";"14";"";"";"";"";"";"7.2";"3.0";"2"
"25";"2026-04-10 00:00:00";"Upper";"4577";"Lat Pulldown (Cable)";"1";"52.5";"11";"7.4";"";"";"";"";"7.2";"3.0";"2"
"25";"2026-04-10 00:00:00";"Upper";"4577";"Lat Pulldown (Cable)";"Rest Timer";"";"";"";"";"146";"";"";"7.2";"3.0";"2"
"25";"2026-04-10 00:00:00";"Upper";"4577";"Lat Pulldown (Cable)";"2";"52.5";"7";"7.8";"";"";"";"";"7.2";"3.0";"2"
"25";"2026-04-10 00:00:00";"Upper";"4577";"Lat Pulldown (Cable)";"Rest Timer";"";"";"";"";"155";"";"";"7.2";"3.0";"2"
"25";"2026-04-10 00:00:00";"Upper";"4577";"Lat Pulldown (Cable)";"3";"52.5";"6";"8.4";"";"";"";"";"7.2";"3.0";"2"
"25";"2026-04-10 00:00:00";"Upper";"4577";"Lat Pulldown (Cable)";"Rest Timer";"";"";"";"";"108";"";"";"7.2";"3.0";"2"
"25";"2026-04-10 00:00:00";"Upper";"4577";"Lat Pulldown (Cable)";"4";"52.5";"6";"9.1";"";"";"";"";"7.2";"3.0";"2"
"25";"2026-04-10 00:00:00";"Upper";"4577";"Bent Over Row (Dumbbell)";"W";"17.5";"11";"";"";"";"";"";"7.2";"3.0";"2"
"25";"2026-04-10 00:00:00";"Upper";"4577";"Bent Over Row (Dumbbell)";"1";"27.5";"7";"7.5";"";"";"";"";"7.2";"3.0";"2"
"25";"2026-04-10 00:00:00";"Upper";"4577";"Bent Over Row (Dumbbell)";"Rest Timer";"";"";"";"";"147";"";"";"7.2";"3.0";"2"
"25";"2026-04-10 00:00:00";"Upper";"4577";"Bent Over Row (Dumbbell)";"2";"27.5";"7";"8.0";"";"";"";"";"7.2";"3.0";"2"
"25";"2026-04-10 00:00:00";"Upper";"4577";"Bent Over Row (Dumbbell)";"Rest Timer";"";"";"";"";"129";"";"";"7.2";"3.0";"2"
"25";"2026-04-10 00:00:00";"Upper";"4577";"Bent Over Row (Dumbbell)";"3";"27.5";"5";"8.3";"";"";"";"";"7.2";"3.0";"2"
"25";"2026-04-10 00:00:00";"Upper";"4577";"Bent Over Row (Dumbbell)";"Rest Timer";"";"";"";"";"173";"";"";"7.2";"3.0";"2"
"25";"2026-04-10 00:00:00";"Upper";"4577";"Bent Over Row (Dumbbell)";"4";"27.5";"4";"8.6";"";"";"";"";"7.2";"3.0";"2"
"25";"2026-04-10 00:00:00";"Upper";"4577";"Bench Skullcrucher";"W";"20.0";"10";"";"";"";"";"";"7.2";"3.0";"2"
"25";"2026-04-10 00:00:00";"Upper";"4577";"Bench Skullcrucher";"1";"35.0";"7";"7.1";"";"";"";"";"7.2";"3.0";"2"
"25";"2026-04-10 00:00:00";"Upper";"4577";"Bench Skullcrucher";"Rest Timer";"";"";"";"";"103";"";"";"7.2";"3.0";"2"
"25";"2026-04-10 00:00:00";"Upper";"4577";"Bench Skullcrucher";"2";"37.5";"6";"7.6";"";"";"";"";"7.2";"3.0";"2"
"25";"2026-04-10 00:00:00";"Upper";"4577";"Bench Skullcrucher";"Rest Timer";"";"";"";"";"119";"";"";"7.2";"3.0";"2"
"25";"2026-04-10 00:00:00";"Upper";"4577";"Bench Skullcrucher";"3";"40.0";"4";"7.9";"";"";"";"";"7.2";"3.0";"2"
"25";"2026-04-10 00:00:00";"Upper";"4577";"Bench Skullcrucher";"Rest Timer";"";"";"";"";"166";"";"";"7.2";"3.0";"2"
"25";"2026-04-10 00:00:00";"Upper";"4577";"Bench Skullcrucher";"4";"40.0";"3";"8.6";"";"";"";"";"7.2";"3.0";"2"
"25";"2026-04-10 00:00:00";"Upper";"4577";"Bench Skullcrucher";"Rest Timer";"";"";"";"";"157";"";"";"7.2";"3.0";"2"
"25";"2026-04-10 00:00:00";"Upper";"4577";"Bench Skullcrucher";"5";"42.5";"1";"8.7";"";"";"";"";"7.2";"3.0";"2"
"25";"2026-04-10 00:00:00";"Upper";"4577";"Bicep Curl (Machine)";"W";"17.5";"11";"";"";"";"";"";"7.2";"3.0";"2"
"25";"2026-04-10 00:00:00";"Upper";"4577";"Bicep Curl (Machine)";"1";"27.5";"7";"6.7";"";"";"";"";"7.2";"3.0";"2"
"25";"2026-04-10 00:00:00";"Upper";"4577";"Bicep Curl (Machine)";"Rest Timer";"";"";"";"";"113";"";"";"7.2";"3.0";"2"
"25";"2026-04-10 00:00:00";"Upper";"4577";"Bicep Curl (Machine)";"2";"27.5";"7";"7.2";"";"";"";"";"7.2";"3.0";"2"
"25";"2026-04-10 00:00:00";"Upper";"4577";"Bicep Curl (Machine)";"Rest Timer";"";"";"";"";"92";"";"";"7.2";"3.0";"2"
"25";"2026-04-10 00:00:00";"Upper";"4577";"Bicep Curl (Machine)";"3";"27.5";"4";"7.8";"";"";"";"";"7.2";"3.0";"2"
"25";"2026-04-10 00:00:00";"Upper";"4577";"Lateral Raise (Dumbbell)";"W";"7.5";"11";"";"";"";"";"";"7.2";"3.0";"2"
"25";"2026-04-10 00:00:00";"Upper";"4577";"Lateral Raise (Dumbbell)";"1";"15.0";"9";"7.1";"";"";"";"";"7.2";"3.0";"2"
"25";"2026-04-10 00:00:00";"Upper";"4577";"Lateral Raise (Dumbbell)";"Rest Timer";"";"";"";"";"127";"";"";"7.2";"3.0";"2"
"25";"2026-04-10 00:00:00";"Upper";"4577";"Lateral Raise (Dumbbell)";"2";"15.0";"4";"7.7";"";"";"";"";"7.2";"3.0";"2"
"25";"2026-04-10 00:00:00";"Upper";"4577";"Lateral Raise (Dumbbell)";"Rest Timer";"";"";"";"";"128";"";"";"7.2";"3.0";"2"
"25";"2026-04-10 00:00:00";"Upper";"4577";"Lateral Raise (Dumbbell)";"3";"15.0";"6";"7.8";"";"";"";"";"7.2";"3.0";"2"
"25";"2026-04-10 00:00:00";"Upper";"4577";"Incline Chest Press (Machine)";"W";"30.0";"15";"";"";"";"";"";"7.2";"3.0";"2"
"25";"2026-04-10 00:00:00";"Upper";"4577";"Incline Chest Press (Machine)";"1";"47.5";"6";"6.7";"";"";"";"";"7.2";"3.0";"2"
"25";"2026-04-10 00:00:00";"Upper";"4577";"Incline Chest Press (Machine)";"Rest Timer";"";"";"";"";"91";"";"";"7.2";"3.0";"2"
"25";"2026-04-10 00:00:00";"Upper";"4577";"Incline Chest Press (Machine)";"2";"47.5";"6";"7.2";"";"";"";"";"7.2";"3.0";"2"
"25";"2026-04-10 00:00:00";"Upper";"4577";"Incline Chest Press (Machine)";"Rest Timer";"";"";"";"";"133";"";"";"7.2";"3.0";"2"
"25";"2026-04-10 00:00:00";"Upper";"4577";"Incline Chest Press (Machine)";"3";"47.5";"4";"7.5";"";"";"";"";"7.2";"3.0";"2"
"25";"2026-04-10 00:00:00";"Upper";"4577";"Incline Chest Press (Machine)";"Rest Timer";"";"";"";"";"179";"";"";"7.2";"3.0";"2"
"25";"2026-04-10 00:00:00";"Upper";"4577";"Incline Chest Press (Machine)";"4";"47.5";"5";"7.7";"";"";"";"";"7.2";"3.0";"2"
"26";"2026-04-12 00:00:00";"Evening Workout";"1095";"Aerobics";"W";"30.0";"14";"";"";"";"";"";"7.1";"5.7";"3"
"26";"2026-04-12 00:00:00";"Evening Workout";"1095";"Aerobics";"1";"52.5";"8";"7.0";"";"";"";"";"7.1";"5.7";"3"
"26";"2026-04-12 00:00:00";"Evening Workout";"1095";"Aerobics";"Rest Timer";"";"";"";"";"108";"";"";"7.1";"5.7";"3"
"26";"2026-04-12 00:00:00";"Evening Workout";"1095";"Aerobics";"2";"52.5";"5";"7.4";"";"";"";"";"7.1";"5.7";"3"
